drugName,cIds,smilesString
Taselisib (GDC-0032),CIDs51001932,CC1=NN(C(=N1)C2=CN3CCOC4=C(C3=N2)C=CC(=C4)C5=CN(N=C5)C(C)(C)C(=O)N)C(C)C
Bepridil,CIDs00002351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
Ranolazine,CIDs00056959,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O
Acetaminophen,CIDs00001983,CC(=O)NC1=CC=C(C=C1)O
Valdecoxib,CIDs00119607,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
Parecoxib sodium,CIDs15895902,CCC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C.[Na+]
Liarozole,CIDs00060652,C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4
ThioTEPA,CIDs00005453,C1CN1P(=S)(N2CC2)N3CC3
Talarozole (R enantiomer),CIDs44421596,CCC(CC)C(C1=CC=C(C=C1)NC2=NC3=CC=CC=C3S2)N4C=NC=N4
Bay-65-1942 hydrochloride,CIDs135449292,C1CC(CNC1)C2=CC(=NC3=C2COC(=O)N3)C4=C(C=CC=C4OCC5CC5)O
LF3,CIDs01213452,C1CN(CCN1CC=CC2=CC=CC=C2)C(=S)NC3=CC=C(C=C3)S(=O)(=O)N
PNU-74654,CIDs09836739,CC1=CC=C(O1)C=NNC(=O)C2=CC=CC=C2OC3=CC=CC=C3
KY-02111,CIDs08582409,COC1=C(C=C(C=C1)CCC(=O)NC2=NC3=C(S2)C=C(C=C3)Cl)OC
WAY-262611,CIDs25199517,C1CN(CCC1CN)C2=NC=CC(=N2)C3=CC4=CC=CC=C4C=C3
GNF-6231,CIDs46927297,CC1=C(N=CC(=C1)CC(=O)NC2=NC=C(C=C2)N3CCN(CC3)C(=O)C)C4=CC(=NC=C4)F
IWP-2,CIDs02155128,CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NC4=C(C(=O)N3C5=CC=CC=C5)SCC4
LGK-974,CIDs46926973,CC1=C(N=CC(=C1)CC(=O)NC2=NC=C(C=C2)C3=NC=CN=C3)C4=CC(=NC=C4)C
Apresoline,CIDs00003637,C1=CC=C2C(=C1)C=NN=C2NN
MK-4101,CIDs16222379,CN1C(=NN=C1C23CCC(CC2)(CC3)C4=NOC(=N4)C5CC(C5)(F)F)C6=CC=CC=C6C(F)(F)F
BMS-833923,CIDs57662985,CC1=C(C=C(C=C1)CNC)NC(=O)C2=CC=C(C=C2)NC3=NC4=CC=CC=C4C(=N3)C5=CC=CC=C5
PF-5274857,CIDs56956240,CC1=CC(=C(N=C1)C2=CC(=NC=C2Cl)N3CCN(CC3)C(=O)CCS(=O)(=O)C)C
HPI-1,CIDs02926768,CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC=CC=C3OC)C4=CC(=CC=C4)O)C(=O)OCCOC
SAG,CIDs05284330,CNC1CCC(CC1)N(CC2=CC=CC(=C2)C3=CC=NC=C3)C(=O)C4=C(C5=CC=CC=C5S4)Cl
NSC-75503,CIDs00253078,C1=CN=CC=C1C2=C(SC(=C2C3=CC=NC=C3)C4=CC=NC=C4)C5=CC=NC=C5
Glasdegib,CIDs25166913,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N
Patidegib,CIDs25027363,CC1CC2C(C(C3(O2)CCC4C5CCC6CC(CCC6(C5CC4=C(C3)C)C)NS(=O)(=O)C)C)NC1
TAK-441,CIDs44187367,CCC1=CC2=C(C(=C(N2C)C(=O)NC3CCN(CC3)C(=O)CO)OCC(F)(F)F)C(=O)N1CC(=O)C4=CC=CC=C4
Robotnikinin,CIDs25109985,C1CC(=O)OC(CNC(=O)C(CC=C1)CC(=O)NCC2=CC=C(C=C2)Cl)C3=CC=CC=C3
MRT-83,CIDs136210511,CC1=C(C=C(C=C1)N=C(N)NC(=O)C2=CC(=C(C(=C2)OC)OC)OC)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4
GANT-61,CIDs00421610,CN(C)C1=CC=CC=C1CN2CCCN(C2C3=CC=NC=C3)CC4=CC=CC=C4N(C)C
Tranilast,CIDs05282230,COC1=C(C=C(C=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O)OC
Andrographolide,CIDs05318517,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O
Atractylenolide I,CIDs05321018,CC1=C2CC3C(=C)CCCC3(C=C2OC1=O)C
Pomalidomide,CIDs00134780,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
Thalidomide,CIDs00005426,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
Tanshinone IIA,CIDs00164676,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
Avadomide,CIDs24967599,CC1=NC2=C(C(=CC=C2)N)C(=O)N1C3CCC(=O)NC3=O
Roquinimex,CIDs54676478,CN1C2=CC=CC=C2C(=C(C1=O)C(=O)N(C)C3=CC=CC=C3)O
Pipequaline,CIDs00071219,C1CNCCC1CCC2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4
CP-456773,CIDs09910393,CC(C)(C1=COC(=C1)S(=O)(=O)NC(=O)NC2=C3CCCC3=CC4=C2CCC4)O
CC-885,CIDs24788636,CC1=C(C=C(C=C1)NC(=O)NCC2=CC3=C(C=C2)C(=O)N(C3)C4CCC(=O)NC4=O)Cl
Methylrosaniline chloride,CIDs00011057,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-]
Bioymifi,CIDs70678419,C1=CC(=CC=C1N2C(=O)C(=CC3=CC=C(O3)C4=CC5=C(C=C4)C(=O)NC5=O)SC2=N)Br
Purmorphamine,CIDs05284329,C1CCC(CC1)N2C=NC3=C2N=C(N=C3NC4=CC=C(C=C4)N5CCOCC5)OC6=CC=CC7=CC=CC=C76
IDE-2,CIDs23836158,C1CCC(=NNC(=O)CCCCCC(=O)O)C1
KHS-101,CIDs90488983,CC(C)CNC1=NC(=NC=C1)NCC2=CSC(=N2)C3=CC=CC=C3.Cl
Stauprimide,CIDs46245328,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(=O)NC6=O)N(C)C(=O)C9=CC=CC=C9)OC
(-)-Indolactam V,CIDs00105000,CC(C)C1C(=O)NC(CC2=CNC3=C2C(=CC=C3)N1C)CO
Nirogacestat,CIDs46224413,CCCC(C(=O)NC1=CN(C=N1)C(C)(C)CNCC(C)(C)C)NC2CCC3=CC(=CC(=C3C2)F)F
Avagacestat,CIDs46883536,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)C(CCC(F)(F)F)C(=O)N)Cl
Semagacestat,CIDs09843750,CC(C)C(C(=O)NC(C)C(=O)NC1C2=CC=CC=C2CCN(C1=O)C)O
LY-411575,CIDs10435235,CC(C(=O)NC1C2=CC=CC=C2C3=CC=CC=C3N(C1=O)C)NC(=O)C(C4=CC(=CC(=C4)F)F)O
BMS-299897,CIDs11249248,CC(C1=C(C=C(C=C1)F)CCCC(=O)O)N(C2=C(C=CC(=C2)F)F)S(=O)(=O)C3=CC=C(C=C3)Cl
LY-2886721,CIDs49837968,C1C2CSC(=NC2(CO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)F)F)N
LY-2811376,CIDs44251605,CC1(CCSC(=N1)N)C2=C(C=C(C(=C2)C3=CN=CN=C3)F)F
LY-3314814,CIDs67979346,CC#CC1=CC(=CN=C1)C2=CC3=C(CC4(C35N=C(C(=N5)N)C)CCC(CC4)OC)C=C2
MK-8931,CIDs51352361,CC1(CS(=O)(=O)N(C(=N1)N)C)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)F)F
Crenigacestat,CIDs71236992,CC(C(=O)NC1C2=CC=CC=C2C3=C(N=CC=C3)N(C1=O)CCO)NC(=O)CCC(F)(F)F
BMS-906024,CIDs66550890,CN1C2=CC=CC=C2C(=NC(C1=O)NC(=O)C(CCC(F)(F)F)C(CCC(F)(F)F)C(=O)N)C3=CC=CC=C3
BMS-983970,CIDs73388374,C1CC1CC(C(CCC(F)(F)F)C(=O)NC2C(=O)NC3=C(C=CC=C3F)C(=N2)C4=CC=CC=C4)C(=O)N
PF-05175157,CIDs52934180,CC1=NC2=C(N1)C=C(C=C2)C(=O)N3CCC4(CC3)CC5=C(C(=O)C4)N(N=C5)C(C)C
Tolrestat,CIDs00053359,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC
Ellagic acid,CIDs05281855,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
Epalrestat,CIDs01549120,CC(=CC1=CC=CC=C1)C=C2C(=O)N(C(=S)S2)CC(=O)O
KDS-4103,CIDs01383884,C1CCC(CC1)NC(=O)OC2=CC=CC(=C2)C3=CC(=CC=C3)C(=O)N
PF-04457845,CIDs24771824,C1CN(CCC1=CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=NN=CC=C4
JNJ-42165279,CIDs54576693,C1CN(CCN1CC2=CC3=C(C=C2)OC(O3)(F)F)C(=O)NC4=C(C=CN=C4)Cl
GSK-2194069,CIDs67376285,C1CC1C(=O)N2CCC(C2)CC3=NNC(=O)N3C4=CC=C(C=C4)C5=CC6=C(C=C5)OC=C6
Pyrazinamide,CIDs00001046,C1=CN=C(C=N1)C(=O)N
Orlistat,CIDs03034010,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O
Cerulenin,CIDs05282054,CC=CCC=CCCC(=O)C1C(O1)C(=O)N
C75,CIDs04248455,CCCCCCCCC1C(C(=C)C(=O)O1)C(=O)O
Riociguat,CIDs11304743,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC
LY-2608204,CIDs46832368,C1CCC(CC1)C2CC2(C3=CC=C(C=C3)S(=O)(=O)C4CC4)C(=O)NC5=NC=C(S5)SCCN6CCCC6
PF-04937319,CIDs46916694,CC1=CC2=C(O1)C=C(C=C2OC3=CN=C(N=C3)C(=O)N(C)C)C(=O)NC4=NC=C(N=C4)C
Ro-28-1675,CIDs09886086,CS(=O)(=O)C1=CC=C(C=C1)C(CC2CCCC2)C(=O)NC3=NC=CS3
GSK-1292263A,CIDs24996872,CC(C)C1=NOC(=N1)N2CCC(CC2)COC3=CN=C(C=C3)C4=CC=C(C=C4)S(=O)(=O)C
Buthionine sulphoximine,CIDs00021157,CCCCS(=N)(=O)CCC(C(=O)O)N
CB-839,CIDs71577426,C1=CC=NC(=C1)CC(=O)NC2=NN=C(S2)CCCCC3=NN=C(C=C3)NC(=O)CC4=CC(=CC=C4)OC(F)(F)F
BPTES,CIDs03372016,C1=CC=C(C=C1)CC(=O)NC2=NN=C(S2)CCSCCC3=NN=C(S3)NC(=O)CC4=CC=CC=C4
Mitapivat,CIDs59634741,C1CC1CN2CCN(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5
AZD-3965,CIDs10369242,CC1=C(C(=NN1)C(F)(F)F)CC2=C(C3=C(S2)N(C(=O)N(C3=O)C)C(C)C)C(=O)N4CC(CO4)(C)O
JPH203,CIDs24853505,C1=CC=C(C=C1)C2=NC3=C(O2)C(=CC(=C3)N)COC4=C(C=C(C=C4Cl)CC(C(=O)O)N)Cl
Perhexiline,CIDs00004746,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3
Coenzyme Q10,CIDs05281915,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
Curcumol,CIDs14240392,CC1CCC2C13CC(C(O3)(CC2=C)O)C(C)C
Omigapil,CIDs06419718,CN(CC#C)CC1=CC2=CC=CC=C2OC3=CC=CC=C31
CP-91149,CIDs09843900,CN(C)C(=O)C(C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)O
Maslinic acid,CIDs00073659,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)C)O)O)C)C)C2C1)C)C(=O)O)C
Ataciguat,CIDs00213037,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=C(C=CC(=C3)Cl)NS(=O)(=O)C4=CC=C(S4)Cl
3-Bromopyruvate,CIDs00070684,C(C(=O)C(=O)O)Br
Lovastatin,CIDs00053232,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
Atorvastatin calcium,CIDs00060822,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2]
Pitavastatin calcium,CIDs05282451,C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)[O-])O)O)C4=CC=C(C=C4)F.C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)[O-])O)O)C4=CC=C(C=C4)F.[Ca+2]
Pravastatin sodium,CIDs00054687,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O
Aspirin,CIDs00002244,CC(=O)OC1=CC=CC=C1C(=O)O
Mevastatin,CIDs00064715,CCC(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O
NCGC00249661,CIDs71307851,CC1=CC=C(C=C1)N2C(=CC(=C2C)C3=NN=C4N3CCCCC4)C
NCGC00262228,CIDs03474778,COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)C(=O)N4CCCCC4
Chlorothiazide,CIDs00002720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
Hydrochlorothiazide,CIDs00003639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
Ivosidenib,CIDs71657455,C1CC(=O)N(C1C(=O)N(C2=CC(=CN=C2)F)C(C3=CC=CC=C3Cl)C(=O)NC4CC(C4)(F)F)C5=NC=CC(=C5)C#N
Enasidenib,CIDs89683805,CC(C)(CNC1=NC(=NC(=N1)NC2=CC(=NC=C2)C(F)(F)F)C3=NC(=CC=C3)C(F)(F)F)O
BAY-1436032,CIDs118310260,CC1CC(CC(C1)(C)C)N2C3=C(C=C(C=C3)CCC(=O)O)N=C2NC4=CC=C(C=C4)OC(F)(F)F
IDH-C227,CIDs56645961,CC1=CC=CC=C1C(C(=O)NC2CCCCC2)N(C3=CC(=CC=C3)F)C(=O)CNC4=CC=C(C=C4)C#N
GSK-864,CIDs91864701,CC1=CC(=CC(=C1OC)C)NC(=O)C2=NN(C3=C2CN(CC3(C)C(=O)N)C(=O)C4=CC=CN4)CC5=CC=C(C=C5)F
AG-881,CIDs117817422,CC(C(F)(F)F)NC1=NC(=NC(=N1)C2=NC(=CC=C2)Cl)NC(C)C(F)(F)F
AGI-5198,CIDs56645356,CC1=CC=CC=C1C(C(=O)NC2CCCCC2)N(C3=CC(=CC=C3)F)C(=O)CN4C=CN=C4C
AGI-6780,CIDs71299339,C1CC1NS(=O)(=O)C2=CC(=C(C=C2)C3=CSC=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F
Indoximod,CIDs00405012,CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N
Epacadostat,CIDs135564890,C1=CC(=C(C=C1N=C(C2=NON=C2NCCNS(=O)(=O)N)NO)Br)F
EOS-200271,CIDs23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F
Navoximod,CIDs70914230,C1CC(CCC1C(CC2C3=C(C=CC=C3F)C4=CN=CN24)O)O
Tenatoprazole,CIDs00636411,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=CC(=N3)OC
BMS-986205,CIDs121328278,CC(C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C(=O)NC4=CC=C(C=C4)Cl
beta-Lapachone,CIDs00003885,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C
Nafamostat mesilate,CIDs05311180,CS(=O)(=O)O.CS(=O)(=O)O.C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N
PD-1/PD-L1 Inhibitor 1,CIDs91663303,CC1=C(C=CC=C1COC2=CC(=C(C(=C2)OC)CN3CCCCC3C(=O)O)OC)C4=CC=CC=C4
BMS-202,CIDs117951478,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=NC(=C(C=C3)CNCCNC(=O)C)OC
2-Iminobiotin,CIDs00128878,C1C2C(C(S1)CCCCC(=O)O)N=C(N2)N
Pimagedine,CIDs00002146,C(=NN)(N)N
Spermidine,CIDs00001102,C(CCNCCCN)CN
Tussilagone,CIDs71307581,CCC(=CC(=O)OC1CC(C2C(C1=C)CC(=O)C2C(C)OC(=O)C)C(C)C)C
Ibiglustat,CIDs60199242,CC(C)(C1=CSC(=N1)C2=CC=C(C=C2)F)NC(=O)OC3CN4CCC3CC4
Eeyarestatin I,CIDs23947580,CC1(C(N(C(=O)N1CC(=O)NN=CC=CC2=CC=C(O2)[N+](=O)[O-])C3=CC=C(C=C3)Cl)N(C(=O)NC4=CC=C(C=C4)Cl)O)C
MIR96-IN-1,CIDs72699186,CC(C)(C)C1=CC(=CC(=C1OCCCC(=O)NCCCN=[N+]=[N-])C(C)(C)C)C2=NC3=C(N2)C=C(C=C3)N4CCN(CC4)C
Mycophenolic acid,CIDs00446541,CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC
Ribavirin,CIDs00037542,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N
Mizoribine,CIDs00104762,C1=NC(=C(N1C2C(C(C(O2)CO)O)O)O)C(=O)N
Mycophenolate mofetil,CIDs05281078,CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)OCCN3CCOCC3)OC
AVN944,CIDs09918559,CCC(CC#N)OC(=O)NC(C)C1=CC(=CC=C1)NC(=O)NC2=CC(=C(C=C2)C3=CN=CO3)OC
L-690330,CIDs00132449,CC(OC1=CC=C(C=C1)O)(P(=O)(O)O)P(=O)(O)O
Clotrimazole,CIDs00002812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
Voriconazole,CIDs00071616,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
Posaconazole,CIDs00468595,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F
GSK-2837808A,CIDs71533725,COC1=NC(=NC=C1C2=CC3=NC=C(C(=C3C=C2)NC4=CC(=CC(=C4)C(=O)O)OC5=CC(=CC(=C5)F)F)S(=O)(=O)NC6CC6)OC
NCGC00372530,CIDs131955127,C1CC1CC2=C(C(=NN2C3=NC(=CS3)C(=O)O)C4=CC=CC(=C4)C5=CC=CC=C5)CC6=CC=C(C=C6)S(=O)(=O)N
Sivelestat,CIDs00107706,CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NCC(=O)O
Zafirlukast,CIDs00005717,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC
Pranlukast hydrate,CIDs00004887,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5
MK591,CIDs23672584,CC(C)(C)SC1=C(N(C2=C1C=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)CC5=CC=C(C=C5)Cl)CC(C)(C)C(=O)[O-].[Na+]
Anacetrapib,CIDs11556427,CC1C(OC(=O)N1CC2=C(C=CC(=C2)C(F)(F)F)C3=CC(=C(C=C3OC)F)C(C)C)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F
Torcetrapib,CIDs00159325,CCC1CC(C2=C(N1C(=O)OCC)C=CC(=C2)C(F)(F)F)N(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C(=O)OC
Evacetrapib (LY2484595),CIDs49836058,CC1=CC(=C2C(=C1)C(CCCN2CC3CCC(CC3)C(=O)O)N(CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)C5=NN(N=N5)C)C
Rotenone,CIDs00006758,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC
GNE-618,CIDs66613669,C1=CC(=CC(=C1)S(=O)(=O)C2=CC=C(C=C2)CNC(=O)C3=CN=C4C(=C3)C=NN4)C(F)(F)F
NAMPT-IN-1,CIDs92044379,CC(C)(CS(=O)(=O)NC1=CC2=C(CN(CC2)C(=O)COC3=CN=CC=C3)C=C1)O
GSK2795039,CIDs71090129,CC(C)N1C=C(C2=C(C=CN=C21)NS(=O)(=O)C3=NN(C=C3)C)C4=CC5=C(CCN5C)C=C4
Melatonin,CIDs00000896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
GKT-137831,CIDs58496428,CN1C(=O)C=C2C(=C1C3=CC(=CC=C3)N(C)C)C(=O)N(N2)C4=CC=CC=C4Cl
CXC-195,CIDs44428656,CC1=C(N=C(C(=N1)C)CN2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)C
KI-696,CIDs118170767,CC1CN(S(=O)(=O)C2=CC=CC=C2O1)CC3=C(C=CC(=C3)C(CC(=O)O)C4=CC5=C(C(=C4)OC)N(N=N5)C)C
NCGC00408930,CIDs09196193,C1OC2=C(O1)C=C(C=C2)CNC3=C4C(=CSC4=NC=N3)C5=CC=C(C=C5)F
JZL-195,CIDs46232606,C1CN(CCN1CC2=CC(=CC=C2)OC3=CC=CC=C3)C(=O)OC4=CC=C(C=C4)[N+](=O)[O-]
Levetiracetam,CIDs05284583,CCC(C(=O)N)N1CCCC1=O
Oltipraz,CIDs00047318,CC1=C(SSC1=S)C2=NC=CN=C2
Omaveloxolone,CIDs71811910,CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)NC(=O)C(C)(F)F)C
Carbidopa,CIDs00034359,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
SB-408124,CIDs04331799,CC1=NC2=C(C=C(C=C2C(=C1)NC(=O)NC3=CC=C(C=C3)N(C)C)F)F
Lemborexant,CIDs56944144,CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC(=CC=C4)F)C
MK-1064,CIDs44633765,COC1=C(N=C(C=C1)CNC(=O)C2=C(N=CC(=C2)C3=CC(=CN=C3)Cl)C4=CC=CC=N4)OC
MCOPPB,CIDs57339147,CC1(CCCCCCC1)N2CCC(CC2)N3C4=CC=CC=C4N=C3C5CCCNC5.Cl.Cl.Cl
JTC-801,CIDs05311339,CCC1=CC=C(C=C1)OCC2=CC=CC=C2C(=O)NC3=CC4=C(C=C3)N=C(C=C4N)C.Cl
J113397,CIDs05311194,CCN1C2=CC=CC=C2N(C1=O)C3CCN(CC3CO)CC4CCCCCCC4
Eflornithine Hydrochloride,CIDs00057004,C(CC(C(F)F)(C(=O)O)N)CN.Cl
GSK-484,CIDs86340175,CN1C2=C(C=C(C=C2OC)C(=O)N3CCC(C(C3)N)O)N=C1C4=CC5=CC=CC=C5N4CC6CC6
KPT-9274,CIDs117779453,C1CN(CCC1(F)F)C(=O)C2=CC=C(C=C2)C3=CC(=C4C(=C3)C=C(O4)CNC(=O)C=CC5=CN=C(C=C5)N)C6=CC=C(C=C6)F
Efatutazone,CIDs09832447,CC1=CC(=CC(=C1N)C)OC2=CC3=C(C=C2)N=C(N3C)COC4=CC=C(C=C4)CC5C(=O)NC(=O)S5
GW-1929,CIDs06518171,CN(CCOC1=CC=C(C=C1)CC(C(=O)O)NC2=CC=CC=C2C(=O)C3=CC=CC=C3)C4=CC=CC=N4
Gemfibrozil,CIDs00003463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
Ciprofibrate,CIDs00002763,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl
Clofibrate,CIDs00002796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
Fenofibrate,CIDs00003339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
Elafibranor,CIDs09864881,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)C=CC(=O)C2=CC=C(C=C2)SC
BMS-687453,CIDs16725047,CC1=C(N=C(O1)C2=CC=C(C=C2)Cl)COC3=CC=CC(=C3)CN(CC(=O)O)C(=O)OC
Pemafibrate,CIDs11526038,CCC(C(=O)O)OC1=CC=CC(=C1)CN(CCCOC2=CC=C(C=C2)OC)C3=NC4=CC=CC=C4O3
GW-6471,CIDs00446738,CCC(=O)NCC(CC1=CC=C(C=C1)OCCC2=C(OC(=N2)C3=CC=CC=C3)C)NC(=CC(=O)C4=CC=C(C=C4)C(F)(F)F)C
L-165041,CIDs06603901,CCCC1=C(C=CC(=C1O)C(=O)C)OCCCOC2=CC=C(C=C2)OCC(=O)O
Rosiglitazone,CIDs00077999,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
SR-1664,CIDs53239854,CC1=C(N(C2=C1C=C(C=C2)C(=O)NC(C)C3=CC=C(C=C3)[N+](=O)[O-])CC4=CC=C(C=C4)C5=CC=CC=C5C(=O)O)C
PF-04620110,CIDs46926360,C1CC(CCC1CC(=O)O)C2=CC=C(C=C2)N3CCOC4=NC=NC(=C4C3=O)N
Pradigastat,CIDs53387035,C1CC(CCC1CC(=O)O)C2=CC=C(C=C2)C3=NC=C(C=C3)NC4=CN=C(C=C4)C(F)(F)F
A-922500,CIDs24768261,C1CC(C(C1)C(=O)O)C(=O)C2=CC=C(C=C2)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4
SKF-89976A,CIDs06917797,C1CC(CN(C1)CCC=C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)O.Cl
Tiagabine hydrochloride,CIDs00091274,CC1=C(SC=C1)C(=CCCN2CCCC(C2)C(=O)O)C3=C(C=CS3)C.Cl
CI-966,CIDs00198693,C1CN(CC(=C1)C(=O)O)CCOC(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C(C=C3)C(F)(F)F
10058-F4,CIDs01271002,CCC1=CC=C(C=C1)C=C2C(=O)NC(=S)S2
Bruceantin,CIDs05281304,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C(C)C)(OC5)C(=O)OC)O)O)C)O
10074-G5,CIDs02836600,C1=CC=C(C=C1)C2=CC=CC=C2NC3=CC=C(C4=NON=C34)[N+](=O)[O-]
